record_date,channel_name,agent_name,response_seconds,score,issue_type,solved_flag,note
2026-05-22 09:27:00,APP客服,坐席14,12,74,投诉建议,是,
2026-06-13 08:21:00,APP客服,坐席11,123,87,订单查询,是,客户情绪较激动
2026-06-20 19:06:00,电话客服,坐席01,28,75分,物流问题,是,需要主管介入
2026-04-24 08:34:00,在线客服,坐席07,171,91,技术支持,是,转其他部门处理
2026-05-01 18:02:00,邮件客服,坐席12,85,81,会员服务,是,
2026-04-21 17:59:00,APP客服,坐席02,24,80,投诉建议,是,建议优化流程
2026-05-17 15:59:00,电话客服,坐席01,162,79,投诉建议,否,建议优化流程
2026-06-19 17:02:00,电话客服,坐席15,0,87,账户问题,是,转其他部门处理
2026-06-07 16:59:00,电话客服,坐席06,34,待评分,投诉建议,是,转其他部门处理
2026-06-06 13:31:00,APP客服,坐席09,183,94,账户问题,是,
2026-05-02 16:45:00,电话客服,坐席06,14,96,物流问题,是,需要主管介入
2026-05-20 08:12:00,电话客服,坐席06,15,74,技术支持,是,
2026-06-14 19:48:00,邮件客服,坐席13,340,99,退款申请,是,客户情绪较激动
2026-05-10 21:46:00,微信客服,坐席07,135,99,退款申请,是,客户对解释满意
2026-05-31 19:41:00,在线客服,坐席02,54,78,物流问题,否,建议优化流程
2026-05-19 14:52:00,APP客服,坐席03,49,100,产品咨询,是,
2026-04-23 19:09:00,在线客服,坐席13,59,78,投诉建议,是,需要主管介入
2026-04-24 19:43:00,微信客服,坐席12,47s,77,会员服务,是,建议优化流程
2026-05-26 09:14:00,邮件客服,坐席06,88,92,技术支持,是,
2026-05-16 15:35:00,邮件客服,坐席07,41,84,订单查询,否,
2026-06-13 19:46:00,在线客服,坐席07,65,85,账户问题,否,客户对解释满意
2026-04-21 15:11:00,电话客服,坐席13,65,73,技术支持,是,需要主管介入
2026-04-30 19:29:00,电话客服,坐席05,53,66,产品咨询,是,
2026-06-15 19:55:00,在线客服,坐席15,14,64,物流问题,否,客户情绪较激动
2026-05-16 20:00:00,电话客服,坐席06,293,73分,投诉建议,否,
2026-05-14 18:42:00,电话客服,坐席09,217,58,订单查询,是,转其他部门处理
2026-05-10 14:44:00,电话客服,坐席02,79,77,订单查询,是,
2026-06-14 14:25:00,在线客服,坐席14,17,77,订单查询,是,建议优化流程
2026-05-15 21:03:00,APP客服,坐席03,116,100,技术支持,是,
2026-05-31 16:47:00,微信客服,坐席05,37,58,投诉建议,是,转其他部门处理
2026-05-09 13:33:00,微信客服,坐席09,62,待评分,技术支持,是,
2026-04-27 12:18:00,在线客服,坐席09,16,84,账户问题,是,建议优化流程
2026-06-05 21:09:00,微信客服,坐席09,47,62,退款申请,是,客户情绪较激动
2026-06-18 18:44:00,微信客服,坐席11,245,84,技术支持,是,客户对解释满意
2026-04-24 12:12:00,在线客服,坐席02,40,72,物流问题,是,客户情绪较激动
2026-05-20 09:01:00,电话客服,坐席04,8,70,订单查询,否,客户对解释满意
2026-04-27 15:48:00,在线客服,坐席10,198,99,会员服务,是,需要主管介入
2026-06-14 13:53:00,在线客服,坐席12,95,81,账户问题,是,建议优化流程
2026-05-14 08:25:00,电话客服,坐席04,79,87,订单查询,是,需要主管介入
2026-06-06 08:34:00,微信客服,坐席01,83,93,技术支持,是,
2026-04-29 21:12:00,在线客服,坐席14,264,87,账户问题,是,
2026-05-29 15:59:00,微信客服,坐席04,25,73,订单查询,否,
2026-05-26 10:08:00,在线客服,坐席11,26,82,物流问题,否,建议优化流程
2026-05-28 15:49:00,APP客服,坐席12,66,63,投诉建议,是,
2026-05-24 14:29:00,在线客服,坐席06,6,83,产品咨询,是,客户对解释满意
2026-05-06 19:16:00,在线客服,坐席08,39,87,产品咨询,否,客户情绪较激动
2026-05-30 15:43:00,电话客服,坐席14,11,82,投诉建议,是,
2026-06-20 21:35:00,在线客服,坐席02,48,64,投诉建议,是,
2026-06-11 21:22:00,邮件客服,坐席02,48,86,技术支持,是,
2026-05-28 09:44:00,在线客服,坐席08,122,99,订单查询,是,客户对解释满意
2026-05-11 10:01:00,电话客服,坐席03,189,91,订单查询,是,转其他部门处理
2026-05-06 13:45:00,电话客服,坐席03,31,83,退款申请,是,客户情绪较激动
2026-05-15 11:44:00,在线客服,坐席12,298s,待评分,投诉建议,是,客户情绪较激动
2026-05-13 10:30:00,电话客服,坐席03,37,90,订单查询,是,客户对解释满意
2026-05-09 16:34:00,电话客服,坐席12,19,89,物流问题,否,客户对解释满意
2026-06-19 11:28:00,APP客服,坐席12,33,71,物流问题,否,
2026-04-27 18:27:00,在线客服,坐席07,53,69,投诉建议,否,
2026-05-03 12:25:00,电话客服,坐席05,175,59,投诉建议,是,
2026-05-11 11:54:00,电话客服,坐席14,120,91,产品咨询,是,需要主管介入
2026-06-01 20:48:00,邮件客服,坐席01,57,67,会员服务,是,
2026-06-17 19:39:00,在线客服,坐席11,116,85,技术支持,是,需要主管介入
2026-05-22 19:00:00,在线客服,坐席08,4,82,投诉建议,是,建议优化流程
2026-05-07 12:19:00,APP客服,坐席10,38,96,技术支持,否,需要主管介入
2026-05-20 13:31:00,电话客服,坐席10,5,74,物流问题,是,
2026-04-22 09:02:00,电话客服,坐席14,89,87分,产品咨询,否,客户情绪较激动
2026-05-02 18:39:00,电话客服,坐席13,273,98,投诉建议,是,客户对解释满意
2026-05-07 15:17:00,电话客服,坐席09,34,100,会员服务,是,转其他部门处理
2026-06-08 15:20:00,电话客服,坐席14,228,69,技术支持,否,转其他部门处理
2026-04-28 21:39:00,在线客服,坐席07,3,95,产品咨询,是,需要主管介入
2026-05-11 11:26:00,邮件客服,坐席15,24,72,退款申请,是,建议优化流程
2026-04-23 13:18:00,电话客服,坐席14,93,80,技术支持,是,需要主管介入
2026-04-23 08:03:00,电话客服,坐席10,14,94,订单查询,是,
2026-05-31 20:08:00,在线客服,坐席06,86,65,订单查询,否,
2026-04-24 20:03:00,APP客服,坐席08,54,69,物流问题,否,
2026-05-28 21:03:00,电话客服,坐席13,31,82,产品咨询,是,客户情绪较激动
2026-06-15 21:23:00,APP客服,坐席02,19,95,退款申请,否,客户情绪较激动
2026-05-20 17:37:00,电话客服,坐席04,44,71,会员服务,是,
2026-05-18 18:46:00,邮件客服,坐席12,154,78,物流问题,是,客户对解释满意
2026-04-26 21:59:00,在线客服,坐席09,53s,76,订单查询,否,转其他部门处理
2026-05-07 18:44:00,微信客服,坐席03,115,69,订单查询,是,
2026-05-11 17:04:00,APP客服,坐席10,3s,79,产品咨询,是,
2026-05-20 13:27:00,电话客服,坐席07,93,70,产品咨询,是,需要主管介入
2026-04-26 19:08:00,在线客服,坐席08,4s,53,退款申请,是,客户情绪较激动
2026-05-14 14:20:00,电话客服,坐席12,18,93,会员服务,是,客户对解释满意
2026-05-16 12:23:00,在线客服,坐席03,176,72,账户问题,否,
2026-05-18 17:42:00,电话客服,坐席06,47,80,账户问题,否,需要主管介入
2026-04-22 13:47:00,电话客服,坐席10,119,100,订单查询,是,
2026-05-25 10:48:00,电话客服,坐席07,19,69,投诉建议,否,客户对解释满意
2026-05-12 11:27:00,电话客服,坐席13,49,86,账户问题,是,
2026-06-01 11:34:00,电话客服,坐席04,186,100,技术支持,是,
2026-04-28 15:59:00,微信客服,坐席04,109,67,投诉建议,是,转其他部门处理
2026-05-02 09:06:00,APP客服,坐席13,136,97,退款申请,否,建议优化流程
2026-06-19 18:36:00,在线客服,坐席06,5,84,物流问题,否,需要主管介入
2026-05-20 20:33:00,电话客服,坐席06,33,待评分,订单查询,是,客户情绪较激动
2026-05-15 11:33:00,电话客服,坐席14,392,53,投诉建议,是,
2026-04-22 19:43:00,在线客服,坐席08,103,70,订单查询,是,建议优化流程
2026-05-16 21:32:00,电话客服,坐席04,26,100,订单查询,否,客户情绪较激动
2026-05-01 21:14:00,电话客服,坐席01,81s,78,产品咨询,是,客户情绪较激动
2026-06-19 08:07:00,电话客服,坐席15,71,59,退款申请,是,转其他部门处理
2026-05-26 19:16:00,微信客服,坐席03,66,84,产品咨询,是,
2026-05-24 15:45:00,在线客服,坐席04,85,75,投诉建议,是,转其他部门处理
2026-05-13 13:47:00,APP客服,坐席14,105,81,退款申请,是,
2026-06-19 14:56:00,电话客服,坐席15,7s,86,产品咨询,是,
2026-05-04 18:52:00,电话客服,坐席11,82,100分,物流问题,是,
2026-06-20 21:21:00,微信客服,坐席15,9,91分,技术支持,是,需要主管介入
2026-05-11 12:47:00,微信客服,坐席03,7,74,产品咨询,是,
2026-05-14 08:07:00,在线客服,坐席15,23,100,会员服务,否,
2026-05-28 11:56:00,APP客服,坐席04,78,78,技术支持,是,
2026-05-14 09:26:00,APP客服,坐席01,60,81,会员服务,是,客户情绪较激动
2026-06-01 08:56:00,在线客服,坐席01,13,80,退款申请,否,需要主管介入
2026-05-28 08:45:00,电话客服,坐席08,111,78,退款申请,是,
2026-05-14 12:48:00,APP客服,坐席08,46,50,投诉建议,是,转其他部门处理
2026-05-09 18:12:00,邮件客服,坐席13,74,89,账户问题,是,需要主管介入
2026-05-16 14:27:00,微信客服,坐席08,61,86,账户问题,是,
2026-05-08 09:03:00,在线客服,坐席15,28,79,产品咨询,是,客户对解释满意
2026-04-22 20:40:00,APP客服,坐席03,55,70,退款申请,是,
2026-05-10 13:26:00,APP客服,坐席13,106,86,物流问题,否,需要主管介入
2026-06-08 16:22:00,微信客服,坐席06,29,100,产品咨询,是,需要主管介入
2026-05-28 17:29:00,在线客服,坐席02,104,60,会员服务,是,客户情绪较激动
2026-05-23 15:38:00,在线客服,坐席12,112,64分,投诉建议,是,
2026-05-19 17:59:00,在线客服,坐席03,29,87,退款申请,是,建议优化流程
2026-05-02 13:00:00,电话客服,坐席01,386,84,投诉建议,否,客户情绪较激动
2026-05-16 18:45:00,电话客服,坐席11,30,72,订单查询,否,
2026-06-19 12:34:00,微信客服,坐席04,105,77,订单查询,是,
2026-06-04 13:03:00,邮件客服,坐席09,114,76,账户问题,否,
2026-06-17 08:20:00,在线客服,坐席12,367,60,投诉建议,否,
2026-05-03 09:10:00,电话客服,坐席13,80,69,账户问题,是,需要主管介入
2026-05-07 12:35:00,邮件客服,坐席15,135,68,会员服务,否,转其他部门处理
2026-05-01 14:27:00,电话客服,坐席08,38,82,产品咨询,是,客户情绪较激动
2026-05-28 18:32:00,在线客服,坐席07,101,90,技术支持,否,转其他部门处理
2026-05-17 09:27:00,微信客服,坐席15,92,96,技术支持,是,需要主管介入
2026-05-03 21:30:00,APP客服,坐席02,159,80分,会员服务,是,
2026-05-11 19:01:00,在线客服,坐席03,45s,81,会员服务,否,客户情绪较激动
2026-04-29 08:35:00,APP客服,坐席15,31,78,会员服务,是,
2026-04-28 10:13:00,微信客服,坐席13,5,82,会员服务,是,客户情绪较激动
2026-05-06 13:59:00,电话客服,坐席10,119,79,投诉建议,是,转其他部门处理
2026-05-19 14:52:00,微信客服,坐席01,15,100,账户问题,是,
2026-05-26 15:53:00,电话客服,坐席02,37,76,物流问题,是,需要主管介入
2026-06-18 14:07:00,电话客服,坐席07,36,86,技术支持,是,
2026-05-19 17:17:00,电话客服,坐席06,4,待评分,账户问题,是,建议优化流程
2026-05-19 19:10:00,微信客服,坐席11,50,84,退款申请,是,
2026-05-27 08:57:00,电话客服,坐席13,160,95,账户问题,否,需要主管介入
2026-06-02 20:36:00,邮件客服,坐席12,452,65,退款申请,是,
2026-05-27 13:47:00,在线客服,坐席09,37,95,退款申请,是,客户对解释满意
2026-05-31 20:17:00,在线客服,坐席04,137,93,技术支持,否,需要主管介入
2026-05-24 16:23:00,邮件客服,坐席04,200,78,订单查询,是,客户情绪较激动
2026-05-11 19:42:00,在线客服,坐席09,7,待评分,账户问题,是,转其他部门处理
2026-05-07 11:13:00,在线客服,坐席09,31s,83,退款申请,是,
2026-05-26 17:59:00,在线客服,坐席01,36,72,产品咨询,是,
2026-06-06 21:40:00,电话客服,坐席06,2,73,技术支持,是,
2026-05-02 18:52:00,APP客服,坐席07,113,90,产品咨询,是,需要主管介入
2026-05-31 20:33:00,APP客服,坐席13,7,90,技术支持,否,建议优化流程
2026-05-22 11:49:00,APP客服,坐席12,27,74,物流问题,否,
2026-05-01 20:52:00,在线客服,坐席04,19,75,技术支持,是,
2026-06-06 16:45:00,电话客服,坐席01,0,72,订单查询,否,
2026-05-11 21:04:00,APP客服,坐席14,86,100,物流问题,是,转其他部门处理
2026-04-26 20:07:00,电话客服,坐席11,111,77,产品咨询,是,
2026-06-16 19:10:00,在线客服,坐席02,12s,待评分,退款申请,是,
2026-05-19 18:33:00,APP客服,坐席11,330,68,投诉建议,是,
2026-05-29 08:58:00,邮件客服,坐席02,290,87,物流问题,是,建议优化流程
2026-05-18 17:42:00,电话客服,坐席10,12,99,产品咨询,是,需要主管介入
2026-06-04 17:35:00,电话客服,坐席08,272,83,技术支持,是,
2026-05-10 11:52:00,电话客服,坐席03,35,91,账户问题,是,客户情绪较激动
2026-04-21 09:00:00,电话客服,坐席13,6,65,产品咨询,是,
2026-05-07 13:33:00,APP客服,坐席09,61,78,投诉建议,否,客户情绪较激动
2026-04-27 14:06:00,微信客服,坐席05,156,92,投诉建议,否,需要主管介入
2026-04-28 16:47:00,在线客服,坐席07,14,82,物流问题,否,客户情绪较激动
2026-05-24 20:23:00,在线客服,坐席04,43,91,退款申请,否,需要主管介入
2026-05-21 21:52:00,微信客服,坐席09,58,64,投诉建议,否,客户情绪较激动
2026-04-23 10:21:00,APP客服,坐席12,15,82,产品咨询,是,
2026-05-20 21:36:00,APP客服,坐席11,12,91,退款申请,否,转其他部门处理
2026-05-11 15:48:00,在线客服,坐席07,151,79分,技术支持,是,
2026-05-01 17:21:00,电话客服,坐席04,21,94,会员服务,是,
2026-05-31 15:01:00,APP客服,坐席07,98,92,退款申请,是,
2026-05-24 18:40:00,电话客服,坐席13,25,95,物流问题,是,
2026-05-05 11:31:00,在线客服,坐席04,1,93,订单查询,是,转其他部门处理
2026-05-24 20:54:00,电话客服,坐席11,183,78,投诉建议,否,建议优化流程
2026-05-25 10:11:00,电话客服,坐席11,99,83,订单查询,是,
2026-05-27 15:06:00,在线客服,坐席07,114,82,退款申请,是,转其他部门处理
2026-06-12 18:04:00,在线客服,坐席01,24,83,物流问题,是,
2026-06-09 16:18:00,APP客服,坐席11,14,84,订单查询,是,建议优化流程
2026-06-13 20:55:00,邮件客服,坐席08,425,待评分,订单查询,是,
2026-04-22 13:57:00,电话客服,坐席14,80,74,账户问题,是,
2026-05-15 10:15:00,APP客服,坐席08,70,100,订单查询,是,
2026-05-31 13:19:00,在线客服,坐席04,63,96,退款申请,是,
2026-05-19 11:00:00,电话客服,坐席09,57s,94,订单查询,是,
2026-05-20 16:44:00,在线客服,坐席01,94,68,投诉建议,是,建议优化流程
2026-05-22 13:47:00,APP客服,坐席10,81,63,订单查询,是,客户情绪较激动
2026-06-06 11:28:00,在线客服,坐席11,335,82,订单查询,是,需要主管介入
2026-05-13 11:46:00,电话客服,坐席01,1,64,账户问题,是,
2026-06-17 08:10:00,在线客服,坐席14,24,79,会员服务,是,
2026-05-28 08:54:00,APP客服,坐席14,4,93,会员服务,是,客户对解释满意
2026-06-08 19:27:00,邮件客服,坐席05,5,77,账户问题,是,
2026-06-19 18:36:00,微信客服,坐席02,42,98,订单查询,否,
2026-06-13 15:03:00,电话客服,坐席01,135,82,技术支持,是,
2026-05-18 12:49:00,微信客服,坐席13,125,80,技术支持,是,
2026-06-15 17:22:00,电话客服,坐席13,9,83,技术支持,是,
2026-06-01 17:38:00,电话客服,坐席01,253,74,投诉建议,是,转其他部门处理
2026-04-25 17:22:00,微信客服,坐席07,83,100,会员服务,是,客户对解释满意
2026-06-07 14:44:00,电话客服,坐席08,137,58,投诉建议,是,转其他部门处理
2026-05-07 21:42:00,APP客服,坐席03,8,95,物流问题,是,转其他部门处理
2026-05-05 21:27:00,在线客服,坐席11,58,94,投诉建议,是,
2026-05-19 09:33:00,在线客服,坐席06,60,70,账户问题,是,
2026-04-27 20:04:00,微信客服,坐席03,160,83,技术支持,是,
2026-06-18 20:02:00,在线客服,坐席05,70,85,退款申请,是,客户情绪较激动
2026-06-10 13:40:00,在线客服,坐席13,103s,100,退款申请,是,建议优化流程
2026-05-08 10:47:00,电话客服,坐席08,39,89,物流问题,是,
2026-05-03 20:53:00,在线客服,坐席13,3,73,退款申请,是,客户对解释满意
2026-04-24 18:59:00,APP客服,坐席10,133,79分,技术支持,否,建议优化流程
2026-05-05 16:35:00,微信客服,坐席10,91,100,订单查询,是,
2026-05-27 10:43:00,APP客服,坐席07,13,86,产品咨询,是,客户情绪较激动
2026-06-01 12:52:00,APP客服,坐席10,39,88,产品咨询,是,
2026-05-30 20:58:00,微信客服,坐席14,77,87,产品咨询,是,转其他部门处理
2026-05-22 08:37:00,在线客服,坐席03,83,100,物流问题,否,
2026-06-05 20:26:00,在线客服,坐席06,65,89,订单查询,否,客户情绪较激动
2026-05-02 08:27:00,电话客服,坐席05,33,90,技术支持,是,建议优化流程
2026-06-05 09:47:00,在线客服,坐席08,131,90,物流问题,是,
2026-06-13 20:37:00,电话客服,坐席04,24,78,产品咨询,否,
2026-05-25 20:12:00,电话客服,坐席04,27,86,退款申请,是,
2026-05-22 11:31:00,电话客服,坐席11,50,99,订单查询,是,客户情绪较激动
2026-06-20 20:18:00,在线客服,坐席10,53,78,投诉建议,否,客户对解释满意
2026-06-18 12:50:00,在线客服,坐席02,118,65,产品咨询,是,需要主管介入
2026-05-08 18:54:00,微信客服,坐席08,280,76,技术支持,是,
2026-04-27 11:00:00,电话客服,坐席12,36,84,物流问题,是,
2026-06-07 08:54:00,电话客服,坐席15,36,89,产品咨询,是,需要主管介入
2026-06-08 13:01:00,邮件客服,坐席10,135,85,退款申请,是,转其他部门处理
2026-05-07 11:51:00,电话客服,坐席14,54,87,物流问题,是,
2026-06-10 11:36:00,微信客服,坐席15,392,78,技术支持,是,客户情绪较激动
2026-05-29 12:54:00,在线客服,坐席01,133,88,会员服务,是,客户情绪较激动
2026-06-09 13:23:00,电话客服,坐席04,17,60,技术支持,是,建议优化流程
2026-05-13 15:10:00,在线客服,坐席08,29,67,投诉建议,否,
2026-05-12 11:30:00,微信客服,坐席06,467,70,技术支持,是,客户情绪较激动
2026-06-05 21:04:00,在线客服,坐席10,22,83,会员服务,是,需要主管介入
2026-06-15 09:08:00,电话客服,坐席09,48,81,会员服务,否,
2026-05-22 16:39:00,在线客服,坐席11,73,71,投诉建议,是,建议优化流程
2026-05-08 14:38:00,在线客服,坐席09,8,100,会员服务,是,需要主管介入
2026-06-16 19:25:00,微信客服,坐席06,211,83,产品咨询,否,转其他部门处理
